                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6499,                  3.468,                 2.1126,                0.13115,                0.14754,                0.03265,                0.02082,                 1.6684,                 3.4783,                 2.2309,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.6372,                 3.5957,                 2.0848,                0.16625,                0.16393,                0.04159,                0.02801,                 1.6477,                 3.4529,                 2.2269,               0.093693,             0.00069307,             0.00069307
                      2,                  1.614,                 2.9429,                  2.063,                0.23975,                0.18033,                0.11853,                0.07923,                 1.5775,                 3.1567,                 2.1945,               0.090078,              0.0010782,              0.0010782
                      3,                 1.3415,                  1.768,                 1.9145,                0.68098,                0.21311,                0.23117,                0.15427,                 1.5812,                 2.8007,                 2.2229,               0.086455,              0.0014555,              0.0014555
                      4,                  1.398,                 1.6596,                 1.8556,                0.48417,                0.23085,                0.20722,                0.14631,                 1.6012,                  2.655,                 2.1547,               0.082825,              0.0018248,              0.0018248
                      5,                 1.1558,                 1.3674,                 1.6242,                0.56229,                 0.2459,                0.24124,                0.16406,                 1.6018,                 2.4747,                 2.1566,               0.079186,              0.0021861,              0.0021861
                      6,                 1.0806,                 1.1441,                 1.6423,                0.45587,                0.26099,                 0.2909,                0.18364,                 1.6395,                 2.3394,                 2.0906,                0.07554,              0.0025396,              0.0025396
                      7,                 1.0851,                 1.0945,                 1.5605,                0.67638,                0.34269,                0.40434,                0.25151,                 1.5727,                  1.927,                 1.9449,               0.071885,              0.0028852,              0.0028852
                      8,                 1.0576,                0.92451,                 1.5456,                0.68344,                0.42475,                0.48975,                0.29493,                 1.5727,                 1.7681,                 1.8983,               0.068223,              0.0032228,              0.0032228
                      9,                0.96553,                0.75062,                 1.4543,                0.65931,                0.40984,                 0.4587,                0.27237,                 1.6364,                 1.8643,                  1.922,               0.064553,              0.0035525,              0.0035525
                     10,                0.97186,                0.74688,                 1.5101,                0.59984,                0.36066,                0.43347,                0.27613,                 1.6265,                 1.7981,                  1.926,               0.060874,              0.0038743,              0.0038743
                     11,                0.95866,                0.63705,                 1.4692,                0.68562,                0.36066,                0.41187,                0.22811,                 1.6888,                 1.5574,                 1.9264,               0.057188,              0.0041882,              0.0041882
                     12,                0.92484,                0.63561,                 1.4178,                0.63908,                0.39344,                0.40803,                0.19872,                 1.8652,                 1.6044,                 2.0155,               0.053494,              0.0044941,              0.0044941
                     13,                 0.9729,                0.69308,                 1.4172,                0.60151,                0.34426,                0.41085,                0.23218,                 1.8591,                 1.6357,                 2.0265,               0.049792,              0.0047922,              0.0047922
                     14,                0.93015,                0.82829,                 1.4591,                0.70742,                0.31724,                0.41206,                0.22064,                 1.9004,                 1.6804,                 2.1723,               0.046082,              0.0050823,              0.0050823
                     15,                0.88286,                0.73829,                 1.4466,                0.49674,                0.27869,                0.31591,                0.18766,                 1.9072,                 1.7458,                 2.1061,               0.042364,              0.0053644,              0.0053644
                     16,                0.88172,                0.78728,                 1.3744,                0.47165,                0.32787,                0.39493,                0.23454,                 1.8911,                 1.7524,                 2.1243,               0.038639,              0.0056387,              0.0056387
                     17,                0.88903,                0.71234,                 1.3572,                0.81487,                0.29508,                0.36782,                0.21469,                 1.8321,                 2.2934,                 2.0959,               0.034905,              0.0059051,              0.0059051
                     18,                0.82579,                0.65254,                 1.3499,                0.88333,                0.29508,                0.35118,                0.21361,                 1.7192,                 2.3767,                 2.0342,               0.031163,              0.0061635,              0.0061635
                     19,                0.88537,                0.64393,                 1.3281,                0.87386,                0.29508,                0.36298,                0.24699,                 1.6154,                 2.2979,                 1.9331,               0.027414,               0.006414,               0.006414
                     20,                 0.8274,                0.57595,                 1.3345,                0.92391,                0.27869,                0.34822,                0.21493,                 1.8658,                 2.2771,                 2.1398,               0.023657,              0.0066566,              0.0066566
                     21,                0.90472,                0.67231,                 1.3473,                0.70792,                0.27869,                0.34023,                0.19272,                 1.9429,                 2.7285,                 2.1604,               0.019891,              0.0068913,              0.0068913
                     22,                 0.8927,                0.77307,                 1.3718,                0.79214,                0.32787,                0.38234,                0.24801,                 1.7985,                  2.084,                 2.1131,               0.016118,               0.007118,               0.007118
                     23,                0.86152,                0.58309,                 1.3438,                0.72576,                0.32787,                0.39085,                0.23931,                 1.8487,                 2.3274,                  2.202,               0.012337,              0.0073369,              0.0073369
                     24,                0.74788,                0.64573,                 1.2831,                0.80272,                0.29508,                0.35594,                0.23869,                 1.8476,                 2.1325,                 2.1899,              0.0085478,              0.0075478,              0.0075478
                     25,                0.75234,                0.56373,                 1.2916,                0.95063,                0.27869,                0.40628,                0.26676,                 1.8282,                 2.1318,                  2.119,               0.007525,               0.007525,               0.007525
                     26,                0.87673,                0.55333,                 1.3291,                0.80212,                0.34426,                0.45598,                0.27343,                 1.7625,                 1.7298,                 2.1663,               0.007525,               0.007525,               0.007525
                     27,                0.78516,                0.52081,                 1.3074,                0.66967,                0.40984,                0.49647,                0.29886,                  1.665,                 1.7255,                 2.0496,               0.007426,               0.007426,               0.007426
                     28,                0.79305,                0.50591,                 1.3283,                0.98551,                0.32787,                0.47427,                0.31166,                 1.6703,                 1.6049,                 1.9452,               0.007327,               0.007327,               0.007327
                     29,                0.82563,                0.55021,                 1.3289,                0.76415,                0.40984,                0.50191,                0.31277,                 1.7443,                 1.6662,                 1.9682,               0.007228,               0.007228,               0.007228
                     30,                0.74138,                0.51296,                 1.2033,                0.76366,                0.44262,                0.52357,                0.31922,                 1.7277,                 1.5279,                 1.9559,               0.007129,               0.007129,               0.007129
                     31,                0.78219,                0.49576,                 1.2587,                0.81758,                0.44262,                 0.5535,                0.33397,                 1.7402,                 1.4167,                 1.9681,                0.00703,                0.00703,                0.00703
                     32,                0.81222,                0.49285,                 1.2557,                 0.7771,                0.45902,                0.55197,                0.33704,                 1.7029,                 1.3496,                 1.9725,               0.006931,               0.006931,               0.006931
                     33,                0.81639,                0.50517,                 1.2605,                0.65428,                0.44262,                0.54516,                0.32423,                 1.7383,                 1.3608,                 1.9889,               0.006832,               0.006832,               0.006832
                     34,                0.82634,                0.47297,                 1.3225,                0.76745,                0.42623,                0.51692,                 0.3081,                 1.7726,                 1.3216,                 2.0185,               0.006733,               0.006733,               0.006733
                     35,                0.82846,                 0.5205,                 1.3115,                0.78771,                0.39344,                0.50838,                0.29609,                 1.8084,                 1.4124,                 2.0721,               0.006634,               0.006634,               0.006634
                     36,                0.81525,                0.55253,                 1.2083,                0.77516,                0.40984,                0.48341,                0.28947,                 1.7794,                 1.3755,                 1.9752,               0.006535,               0.006535,               0.006535
                     37,                0.74254,                0.45554,                 1.2151,                 0.5772,                0.40984,                 0.4472,                0.27446,                 1.8317,                 1.7023,                 2.0858,               0.006436,               0.006436,               0.006436
                     38,                0.73937,                0.50319,                 1.2733,                0.62311,                0.40984,                0.44744,                0.27606,                 1.8879,                  1.642,                 2.1372,               0.006337,               0.006337,               0.006337
                     39,                0.74216,                0.49983,                 1.2204,                0.67175,                0.39344,                0.43048,                 0.2812,                 1.8297,                 1.6415,                 2.0466,               0.006238,               0.006238,               0.006238
                     40,                0.73279,                0.49998,                 1.1975,                0.59955,                0.36827,                0.38044,                0.25802,                 1.9256,                 1.8572,                 2.2792,               0.006139,               0.006139,               0.006139
                     41,                0.77669,                0.56984,                 1.2339,                0.64077,                0.35102,                0.38742,                0.25427,                 1.9336,                 1.7766,                  2.331,                0.00604,                0.00604,                0.00604
                     42,                0.66704,                0.41687,                 1.1633,                0.62697,                0.33072,                0.39485,                0.26434,                 1.9253,                 1.7862,                  2.231,               0.005941,               0.005941,               0.005941
                     43,                0.75006,                0.47325,                 1.2054,                 0.7194,                0.34426,                0.42252,                0.26654,                 1.8154,                 1.6143,                 2.1265,               0.005842,               0.005842,               0.005842
                     44,                0.66563,                 0.4298,                  1.171,                0.81994,                0.39344,                0.48213,                0.29155,                 1.8388,                 1.5645,                 2.2349,               0.005743,               0.005743,               0.005743
                     45,                 0.6446,                0.43183,                 1.2148,                0.80658,                0.39344,                0.46975,                0.27453,                 1.8174,                 1.6005,                 2.0947,               0.005644,               0.005644,               0.005644
                     46,                0.68521,                0.46736,                  1.215,                 0.7812,                0.37705,                0.44613,                 0.2551,                 1.8432,                 1.6441,                 2.1516,               0.005545,               0.005545,               0.005545
                     47,                0.63363,                0.41577,                 1.2087,                0.81258,                0.36066,                0.45853,                0.26866,                 1.8741,                 1.7502,                 2.2149,               0.005446,               0.005446,               0.005446
                     48,                0.67684,                0.44621,                 1.2515,                0.80109,                0.36066,                0.44613,                0.26881,                 1.8812,                 1.6775,                 2.1551,               0.005347,               0.005347,               0.005347
                     49,                0.75661,                0.53115,                 1.2454,                0.54831,                0.44262,                0.43006,                0.27423,                  1.855,                 1.5908,                 2.1657,               0.005248,               0.005248,               0.005248
                     50,                0.67198,                0.44669,                 1.1895,                0.61184,                0.46521,                0.46884,                0.30551,                 1.8019,                 1.5161,                  2.087,               0.005149,               0.005149,               0.005149
                     51,                0.72011,                0.45999,                 1.2283,                0.72786,                0.47541,                0.51542,                0.29539,                 1.8482,                 1.4554,                  2.141,                0.00505,                0.00505,                0.00505
                     52,                0.67078,                0.43406,                 1.2099,                 0.7895,                0.47541,                0.54736,                0.33017,                 1.7367,                 1.4102,                 2.0195,               0.004951,               0.004951,               0.004951
                     53,                0.63735,                0.44969,                 1.1627,                0.76342,                0.47541,                0.49735,                0.29014,                 1.7855,                 1.5472,                 2.1074,               0.004852,               0.004852,               0.004852
                     54,                0.71277,                0.44239,                 1.2051,                0.71598,                0.42623,                0.47725,                  0.287,                 1.8203,                 1.5952,                 2.1486,               0.004753,               0.004753,               0.004753
                     55,                 0.6068,                0.41443,                 1.1534,                0.71477,                0.41083,                0.46802,                0.28622,                 1.8049,                 1.6172,                 2.2058,               0.004654,               0.004654,               0.004654
                     56,                0.65622,                 0.4435,                 1.1796,                0.67692,                0.40984,                 0.4791,                0.28377,                 1.7943,                 1.7102,                 2.1557,               0.004555,               0.004555,               0.004555
                     57,                0.66028,                0.40545,                 1.1258,                0.64371,                0.42623,                0.45857,                0.27427,                 1.8474,                  1.739,                  2.156,               0.004456,               0.004456,               0.004456
                     58,                0.77833,                0.50432,                 1.2598,                0.63931,                0.40686,                0.45864,                0.28905,                 1.7878,                 1.7161,                 2.0675,               0.004357,               0.004357,               0.004357
                     59,                0.65331,                0.41019,                 1.1881,                0.74168,                0.37657,                0.45334,                0.28845,                 1.7825,                 1.8221,                 2.0829,               0.004258,               0.004258,               0.004258
                     60,                0.65879,                0.45409,                 1.2225,                0.85566,                0.32787,                 0.4393,                0.28527,                   1.66,                 2.0419,                 2.0367,               0.004159,               0.004159,               0.004159
                     61,                 0.6246,                0.43441,                 1.1219,                0.79842,                0.32787,                0.46096,                0.30169,                  1.644,                 1.9066,                 1.9252,                0.00406,                0.00406,                0.00406
                     62,                0.70307,                0.47569,                 1.2099,                0.79443,                0.32787,                0.47234,                0.29941,                 1.6865,                 1.7558,                 1.9593,               0.003961,               0.003961,               0.003961
                     63,                0.63832,                0.45038,                 1.2403,                0.83074,                0.32787,                0.47393,                0.29976,                 1.6691,                 1.6442,                 1.9638,               0.003862,               0.003862,               0.003862
                     64,                0.64047,                0.42542,                 1.1236,                0.75855,                0.37705,                   0.47,                0.29443,                 1.6826,                 1.6129,                  2.023,               0.003763,               0.003763,               0.003763
                     65,                0.58409,                0.39506,                 1.1063,                0.83729,                0.34426,                0.45836,                0.29201,                 1.7551,                 1.5606,                 2.1143,               0.003664,               0.003664,               0.003664
                     66,                 0.5947,                0.42352,                  1.128,                0.73315,                0.37705,                0.45302,                0.28602,                 1.7381,                 1.5713,                 2.1044,               0.003565,               0.003565,               0.003565
                     67,                 0.5576,                0.36315,                 1.0987,                0.77488,                0.36066,                0.44942,                0.29566,                 1.7005,                   1.58,                 2.0104,               0.003466,               0.003466,               0.003466
                     68,                0.57048,                0.39149,                 1.1044,                0.77098,                0.40984,                0.47738,                0.29756,                 1.6919,                 1.5018,                 1.9889,               0.003367,               0.003367,               0.003367
                     69,                0.54417,                 0.3974,                  1.144,                 0.8799,                0.40984,                 0.4952,                0.30251,                 1.7305,                 1.4645,                 1.9925,               0.003268,               0.003268,               0.003268
                     70,                0.57905,                0.36643,                 1.1541,                0.82556,                0.39344,                0.51601,                0.30873,                 1.6767,                 1.3303,                 1.9526,               0.003169,               0.003169,               0.003169
                     71,                 0.6358,                  0.417,                 1.1633,                0.82703,                0.40984,                0.52405,                0.31933,                  1.657,                 1.3233,                 1.9129,                0.00307,                0.00307,                0.00307
                     72,                0.62402,                0.39774,                 1.1958,                 0.9104,                0.39344,                0.50671,                0.31789,                 1.6514,                 1.3946,                 1.8921,               0.002971,               0.002971,               0.002971
                     73,                0.56854,                0.39396,                 1.1094,                0.89264,                0.40896,                0.50509,                0.31198,                 1.6432,                 1.4163,                 1.8782,               0.002872,               0.002872,               0.002872
                     74,                0.63016,                0.42748,                 1.1837,                0.82309,                0.40984,                0.50751,                0.31387,                 1.7314,                 1.4596,                 1.9538,               0.002773,               0.002773,               0.002773
                     75,                0.54941,                0.36205,                 1.1013,                0.83418,                0.40984,                0.50795,                0.30964,                 1.7617,                  1.567,                 1.9633,               0.002674,               0.002674,               0.002674
                     76,                0.57772,                0.36369,                   1.12,                0.85495,                0.40984,                0.50459,                0.30175,                 1.8167,                 1.5964,                 2.0099,               0.002575,               0.002575,               0.002575
                     77,                0.63264,                0.42898,                  1.149,                0.85494,                0.40984,                0.50071,                0.29826,                 1.8328,                 1.6277,                   2.04,               0.002476,               0.002476,               0.002476
                     78,                0.51277,                0.34043,                 1.0855,                0.76353,                0.42623,                0.49475,                 0.3057,                 1.7767,                 1.6392,                 1.9774,               0.002377,               0.002377,               0.002377
                     79,                0.56901,                0.37093,                  1.097,                0.74979,                0.42623,                0.49818,                0.30575,                 1.7464,                   1.61,                 1.9471,               0.002278,               0.002278,               0.002278
                     80,                0.56376,                0.34526,                 1.1302,                0.76228,                0.44262,                0.50386,                0.31153,                  1.771,                 1.5635,                  1.973,               0.002179,               0.002179,               0.002179
                     81,                0.53162,                0.35855,                 1.1352,                0.75839,                0.42623,                0.49939,                 0.3095,                 1.7645,                 1.5969,                  1.985,                0.00208,                0.00208,                0.00208
                     82,                0.54782,                0.36079,                 1.0984,                0.75739,                0.42623,                0.50931,                0.31788,                 1.7848,                  1.502,                 2.0188,               0.001981,               0.001981,               0.001981
